[ 2014-11-10T10:04:08+08:00 ] /test/admin.php | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:04:08+08:00 ] /test/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003942s ]
[ 2014-11-10T10:04:08+08:00 ] /test/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004120s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.004779s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.005051s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002023s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002177s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003014s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003193s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.025263s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025452s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001119s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001258s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000740s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001343s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004854s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001357s ]
[ 2014-11-10T10:21:54+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001501s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.003801s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.004012s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001387s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001512s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.044215s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.044464s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004152s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004300s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.003953s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.004116s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.042683s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042839s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.002481s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.002769s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002521s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.002971s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011121s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.002902s ]
[ 2014-11-10T10:21:55+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.003053s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.002471s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002702s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001585s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001727s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
