[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.005239s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.005544s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001853s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002104s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003492s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003790s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.027303s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027533s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001209s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001558s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000860s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001780s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005917s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001802s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001989s ]
[ 2014-11-14T09:28:40+08:00 ] /test/admin.php/Common/verify/ | INFO: Tag[ route_check ] --START--
