[ 2014-12-20T14:23:02+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ route_check ] --START--
[ 2014-12-20T14:23:02+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run CheckRoute Behavior [ RunTime:0.019351s ]
[ 2014-12-20T14:23:02+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ route_check ] --END-- [ RunTime:0.033594s ]
[ 2014-12-20T14:23:02+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ app_begin ] --START--
[ 2014-12-20T14:23:02+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004035s ]
[ 2014-12-20T14:23:02+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004236s ]
[ 2014-12-20T14:23:02+08:00 ] /gisproject/admin.php/Index/showmanageuser | NOTIC: [8] Undefined index:  adminname functions.php 第 441 行.
[ 2014-12-20T14:23:02+08:00 ] /gisproject/admin.php/Index/showmanageuser | SQL: SHOW COLUMNS FROM `tb_user` [ RunTime:0.012715s ]
[ 2014-12-20T14:23:02+08:00 ] /gisproject/admin.php/Index/showmanageuser | SQL: SELECT COUNT(*) AS tp_count FROM `tb_user` LIMIT 1   [ RunTime:0.000603s ]
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | SQL: SELECT `userid`,`username`,`useremail` FROM `tb_user` ORDER BY userid asc LIMIT 0,5   [ RunTime:0.019936s ]
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_template ] --START--
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run LocationTemplate Behavior [ RunTime:0.023501s ]
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_template ] --END-- [ RunTime:0.023716s ]
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_parse ] --START--
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run ParseTemplate Behavior [ RunTime:0.210514s ]
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_parse ] --END-- [ RunTime:0.210792s ]
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_filter ] --START--
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run ContentReplace Behavior [ RunTime:0.004104s ]
[ 2014-12-20T14:23:03+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run TokenBuild Behavior [ RunTime:0.004850s ]
