[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ route_check ] --START--
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Run CheckRoute Behavior [ RunTime:0.004870s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.005139s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ app_begin ] --START--
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003638s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003797s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.017337s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | SQL: SELECT COUNT(*) AS tp_count FROM `tb_point` LIMIT 1   [ RunTime:0.000735s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | SQL: SELECT YEAR(timestamp),AsText(point),`type`,`name`,`introduce` FROM `tb_point` ORDER BY AsText(point) , YEAR(timestamp) desc LIMIT 5,5   [ RunTime:0.019351s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ view_template ] --START--
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.006587s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.006795s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ view_parse ] --START--
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  uri c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 127 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  timestamp c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 132 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  uri c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 127 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  timestamp c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 132 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  uri c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 127 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  timestamp c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 132 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  uri c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 127 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  timestamp c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 132 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  uri c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 127 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | NOTIC: [8] Undefined index:  timestamp c02ad00cab08c9825ee4d3e4d07a0c6f.php 第 132 行.
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.047188s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047339s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ view_filter ] --START--
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Run ContentReplace Behavior [ RunTime:0.002875s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Run TokenBuild Behavior [ RunTime:0.003681s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002492s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Run ShowRuntime Behavior [ RunTime:0.003094s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012553s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ view_end ] --START--
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.004737s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/showmanagegis?&p=2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.004917s ]
[ 2015-02-13T00:00:29+08:00 ] /gisproject/admin.php/Index/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2015-02-13T00:00:33+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Tag[ route_check ] --START--
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Run CheckRoute Behavior [ RunTime:0.003742s ]
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004043s ]
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Tag[ app_begin ] --START--
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001888s ]
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002078s ]
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.016816s ]
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | SQL: SELECT COUNT(*) AS tp_count FROM `tb_point` LIMIT 1   [ RunTime:0.005818s ]
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | SQL: SELECT YEAR(timestamp),AsText(point),`type`,`name`,`introduce`,`uri` FROM `tb_point` WHERE YEAR(timestamp) = '2015' AND AsText(point) = 'POINT(123.434063 41.858121)'  [ RunTime:0.001030s ]
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [2] json_encode() expects exactly 1 parameter, 2 given IndexAction.class.php 第 237 行.
