[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002460s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002681s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001572s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001706s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004785s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004942s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.102963s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.103144s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.002583s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002971s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002391s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002881s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011180s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004093s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004236s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002496s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002700s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001395s ]
[ 2014-11-21T15:13:29+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001514s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.004762s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005004s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003911s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004056s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005341s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005522s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.033504s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033683s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.003364s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002658s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002322s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002929s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011620s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002779s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002897s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002230s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002439s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001421s ]
[ 2014-11-21T15:15:42+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001540s ]
[ 2014-11-21T15:15:44+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:15:44+08:00 ] /test/index.php/Login/sendmail/ | INFO: Run CheckRoute Behavior [ RunTime:0.002614s ]
[ 2014-11-21T15:15:44+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002844s ]
[ 2014-11-21T15:15:44+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:15:44+08:00 ] /test/index.php/Login/sendmail/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001631s ]
[ 2014-11-21T15:15:44+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001770s ]
[ 2014-11-21T15:15:45+08:00 ] /test/index.php/Login/sendmail/ | NOTIC: [2] mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() class.phpmailer.php 第 677 行.
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.005399s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005656s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003665s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003815s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005870s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006047s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.100275s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.100443s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.002569s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002636s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002980s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002781s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011308s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002892s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003018s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.003591s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003810s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001480s ]
[ 2014-11-21T15:26:54+08:00 ] /test/index.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001604s ]
[ 2014-11-21T15:26:56+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ route_check ] --START--
[ 2014-11-21T15:26:56+08:00 ] /test/index.php/Login/sendmail/ | INFO: Run CheckRoute Behavior [ RunTime:0.002963s ]
[ 2014-11-21T15:26:56+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003228s ]
[ 2014-11-21T15:26:56+08:00 ] /test/index.php/Login/sendmail/ | INFO: Tag[ app_begin ] --START--
