[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.031429s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.075548s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Run LocationTemplate Behavior [ RunTime:0.039660s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.039960s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:42:09+08:00 ] /test/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 14 行.
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Run ParseTemplate Behavior [ RunTime:0.260626s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.260858s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Run ContentReplace Behavior [ RunTime:0.039720s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Run TokenBuild Behavior [ RunTime:0.006126s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005668s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Run ShowRuntime Behavior [ RunTime:0.010454s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.062696s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ view_end ] --START--
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.010246s ]
[ 2014-11-22T08:42:09+08:00 ] /test/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.010502s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002848s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003145s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001799s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001981s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005876s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.006153s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.059365s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059589s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.004026s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.004055s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002496s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003819s ]
[ 2014-11-22T08:42:12+08:00 ] /test/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014940s ]
