[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.043199s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.044004s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --START--
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005394s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.005589s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | NOTIC: [8] Undefined index:  username d046431aa157c89f3a1c30c426be003b.php 第 21 行.
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Run ParseTemplate Behavior [ RunTime:0.233721s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.233857s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --START--
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Run ContentReplace Behavior [ RunTime:0.016086s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Run TokenBuild Behavior [ RunTime:0.003462s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002600s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003551s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.026075s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --START--
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.003067s ]
[ 2015-05-05T16:25:47+08:00 ] /gisproject/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.003178s ]
